abbahagy,auf hören
kártya,die Karte
kassza,die Kasse
kávé,der Kaffee
kedd,der Dienstag
kedves,nett - liebe Mutter
kefe,die Bürste
kék,blau
kelet,der Ost
kell/ nekem.. kell,müssen ich muß...
kellemes,angenehm
kenyér,das Brot
kérdés,die Frage
kérdezni,fragen h.
kerek,rund
kerékpár,das Fahrrad
kérem,bitte
keresni,suchen h.
keresztül,durch
kert,der Garten
kés,das Messer
késés,die Verspätung
kész,fertig
készpénz,das Bargeld
kesztyű,der Handschuh
kétszer,zweimal
kettő,zwei
kevés,wenig
kevesebb,weniger
kéz,der Hand
kezdeni,beginnen begann h. begonnen
kezdő,der Anfänger
ki,wer
kicsi,klein
kiejteni,aus sprechen sprach aus h. ausgesprochen
kijárat,der Ausgang
kilenc,neun
kilencven,neunzig
kilo,das Kilo
kinek a..?,wessen..?
kinyitni,auf schließen
kirándulás,der Ausflug
kitölteni,aus füllen h.
kivánni,wünschen h.
kívül,außer
kolbász,die Wurst
komoly,ernst
konzerv,die Dose
konyha,die Küche - in die Küche
korán,früh
korház,das Krankenhaus
ködös,neblig
kölcsön,das Darlehen
könnyű,leicht
könyv,das Buch
környék,die Gegend
körülbelül,etwa
köszönöm,danke
kötetlen,zwanglos
kövér,dick
következő,nächste
követni,folgen
közel,nah
közlekedés,der Verkehr
között,zwischen
krumpli,die Kartoffeln
kulcs,der Schlüssel
kutya,der Hund
küldeni,schicken h.
külön,getrennt
láb,das Bein
lakás,die Wohnung
lakni,wohnen h.
lámpa,die Lampe
lány,das Mädchen
lassan,langsam
látni,sehen sah h. gesehen
lenni,sein - ich werde sein
lent,unten
lépcső,die Treppe
levegő,die Luft
levél,der Brief
lift,der Aufzug
lila,lila
ma,heute
madár,der Vogel
magas,groß
majdnem,fast
május,der Mai
már,schon
maradni,bleiben blieb i. geblieben
március,der März
második,zweite
másolat,die Kopie
megálló,die Haltestelle
meglátogatni,besuchen h.
meleg,warm
mély,tief
menni,gehen ging i. gegangen
méret,die Größe
mert,weil
messze,weit
mi?,was?
mi,wir (személyes névmás)
mind,alle
mindig,immer
mobil telefon,das Handy
most,jetzt
mozi,das Kino
mutat,zeigen
müködni,funktionieren
nadrág,die Hose
nagy,groß
nagyon,sehr
nagyság,die Größe
nap,die Sonne (égitest)
nap,der Tag
naponta,täglich pro Tag
nappali,das Wohzimmer
narancs,die Orange
négy,vier
negyedik,vierte
negyven,vierzig
nekünk,für uns
nélkül,ohne
nem,nein (mondat elején) nicht (mondat közben)
német,deutsch
nemzet,die Nation
név,der Name
nevetni,lachen h.
normális,normal
növény,die Pflanze
nő,die Frau
nulla,null
nyak,der Hals
nyár,der Sommer
nyelv,die Sprache
nyelvtanfolyam,der Sprachkurs
nyers,roh
nyit,öffnen
nyolc,acht
nyolcvan,achtzig
nyugat,der West
nyugdíjas,der die Rentner in
oklevél,die Urkunde
október,der Oktober
olaj,das Öl
olcsó,billig
oldal,die Seite
olvasni,lesen las h. gelesen
óra,die Uhr
orr,die Nase
ország,das Land
orvos,derArzt
orvosság,die Medizin
férfi/nő,der die Österreicher in
osztani,teilen h.
óta,seit
ott,dort
óváros,die Altstadt
ő (férfi/nő),er sie es
ők,sie
öltöny,der Anzug
ön/ önök,Sie
őr,der die Wächter in
öreg/ idős,alt
örülni/ örülök,sich freuen ich freue mich
ősz (évszak),der Herbst
öt,fünf
ötödik,fünfte
ötven,fünfzig
öv,der Gürtel
páciens,die derPatient in
pályaudvar,der Bahnhof
panasz,die Beschwerde
papír,das Papier
pár,das Paar
park,der Park
parkolás,das Parking
péntek,der Freitag
pénz,das Geld
pénzváltó,die Wechselstube
perc,die Minute
piac,der Markt m
pincér,der die Kellner in
piszkos,schmutzig
pohár,das Glas
posta,die Post
pótlék,der Zuschlag
pulóver,der Pullover
pumpa,die Pumpe
pumpálni,pumpen h.
rádió,das Radio
recepció,die Rezeption
recepciósnő,der Rezeptionist die Rezeptionistin
reggel,der Morgen am Morgen
reggelente,morgens
reggeli,das Frühstück - frühstücken
rendben,in Ordnung
rendelés,die Bestellung
rendelni,bestellen h.
rendőrség,die Polizei
rendőrnő,der die Polizist in
repül,fliegen flog i. geflogen
repülő,das Flugzeug
rossz,schlecht falsch (hamis)
rögtön,sofort
rövid,kurz
ruha,das Kleid
saját,eigen-e
sajnálom,es tut mir leid
sajnos,leider
sajt,der Käse
sapka,die Mütze
sárga,gelb
sarok,die Ecke
sebességkorlátozás,die Geschwindigkeitsbegrenzung
segíteni,helfen half h. geholfen
semmi,nichts
senki,niemand
sérült,verletzt
sétálni,spazieren h.
só,das Salz
soha,nie
sok,viel
sör,das Bier
sötét,dunkel
sürgősen,dringend
szabad,frei
szabadidő,die Freizeit
szabadság,der Urlaub
száj,der Mund
szakácsnő,der Koch die Köchin
szállítani,liefern h.
szám,die Nummer
számla,die Rechnung
szappan,die Seife
száraz,trocken
száz,hundert
szék,der Stuhl
széles,weit
szem,das Auge
szemben,gegenüber
szemüveg,die Brille
szép,schön
szeptember,der September
szerda,der Mittwoch
szeretne,ich möchte du möchtest
szín,die Farbe
színház,das Theater
szív,das Herz n
szoba,das Zimmer
szobalány,das Zimmermädchen
szombat,der Samstag
szomjas,durstig
szomszédnő,der die Nachbar in
szótár,das Wörterbuch
szűk,eng
szükséges/ szükségem van,nötig ich brauche
szülők,die Eltern
szünet,die Ferien (iskolai) Pause
szürke,grau
takaró,die Decke
találkozni,sich treffen traf h. getroffen
találni,finden fand h. gefunden
talán,vielleicht
tanárnő,der die Lehrer in
tánc,der Tanz
tanulni,lernen h.
tányér,der Teller
táska,die Tasche
tavasz,der Frühling
tea,der Tee
tegnap,gestern
tej,die Milch
tél,der Winter
teli,voll
teljesen,ganz
templom,die Kirche
tenger,das Meer
térd,das Knie
térkép,die Karte
persze,natürlich freilich
tessék?,wie bitte?
test,der Körper
lánytestvér,die Schwester (lány) der Bruder (fiú)
tető,das Dach
tied,dein...
tiszta,sauber
tíz,zehn
tizenegy,elf
tizenkettő,zwölf
tó,der See
tojás,das Ei
több,mehr
törülköző,das Handtuch
tulajdonosnő,der die Besitzer in
tű,die Nadel
tükör,der Spiegel
tűz,das Feuer
új,neu
ujj,der Finger
unalmas,langweilig
úr,der Herr
úszni,schwimmen schwamm i. geschwommen
út,der Weg
után,nach
utas,der Passagier
utazás,die Fahrt
járművel utazni,fahren fuhr i. gefahren
utca,die Strasse
útlevél,der Pass
utolsó,letzte
üdvözölni,wilkommen h.
ügyvéd,der Anwalt
ülni,sitzen saß h. gesessen
üres,leer
üveg,die Flasche
üzlet,das Geschäft
vacsora,das Abendessen
vacsorázni,zu Abendessen
vagy,oder
vaj,die Butter
-val -vel,mit
valaki,jemand
valami,etwas
vallás,die Religion
valószínűleg,wahrscheinlich
várni,warten h.
város,die Stadt
vasárnap,der Sonntag
vásárolni,kaufen h.
vasút,die Eisenbahn
vége,das Ende
vékony,dünn
velünk,mit uns
veszélyes,gefährlich
járművet vezetni,lenken leiten (intézményt
járművezető nő,der die Lenker in
vidám,lustig
világos,hell
vinni,tragen trug h. getragen
virág,die Blume
viszontlátásra!,auf Wiedersehen!
visszajönni,zurück kommen
víz,das Wasser
vonat,der Zug
völgy,das Tal
zakó,das Jacket
zárni,schließ schloß h. geschlossen
zárva,geschlossen
zavarni,stören h.
zene,die Musik
zokni,die Socken
zöld,grün
zöldség,das Gemüse
zuhany,die Dusche
zsebkendő,das Taschentuch
zsemle,das Brötchen die Semmel (osztrák)
zsír,das Fett
zsírszegény,fettarm
Mikor?,wann?
nappal,am Tage
éjjel,nachts
korán reggel,früh ()morgens)
reggel,morgens
délelőtt,vormittags
délben,mittags
délután,nachmittags
este,abends
éjfélkor,um Mitternacht
éjfél után,nach Mitternacht
naponta,täglich
minden nap,jeden Tag
minden este,jeden Abend
ma,heute
holnap,morgen
tegnap,gestern
tegnapelőtt,vorgestern
holnapután,übermorgen
mindig,immer
péntek előtt,vor Freitag
holnapig,bis morgen
nyáron,während des Sommers
minden héten,jede Woche
azonnal,sofort
soha,nie
még nem,noch nicht
most,jetzt
gyakran,oft
hétköznapokon,an Werktagen
hetente egyszer,eimal in der Woche
néha,manchmal
hamarosan,bald
akkor,dann
két napon belül,innerhalb von zwei Tagen
tavaly,voriges Jahr
jövőre,nächstes Jahr
a múlt évben,im letzten Jahr
a jövő évben,im nächsten Jahr
egy hét múlva,in 8 Tagen
két hét múlva,in 14 Tagen
egy hét óta,seit einer Woche
két hónap múlva,in zwei Monaten
egy évvel ezelőtt,vor einem Jahr
nemsokára,bald
nemrég,vor kurzem
folyamán..,während..
az év folyamán,während des Jahres
egy hónap alatt,während eines Monats
Hányadika van ma?,Den wievielten haben wir heute?
február elseje,der 1. Februar
március 14. én,am 14. März
Június 4-én elutazom,Ich reise am 4. Juni ab.
ezen a héten,in dieser Woche
Ma huszadika van.,Heute ist der 20.
augusztus 8. án,den 8. August
folyó hó harmadikán,am 3. dieses Monats
ebben a hónapban,in diesem Monat
julius 2. tól,vom zweiten Juli
másodikáig,bis zum zweiten
másodika felé,um den zweiten
másodika előtt,vor dem zweiten
másodika után,nach dem zweten
Mikor van a születésnapod?,Wann ist dein Geburtstag?
ujévkor,zu Neujahr
húsvétkor,zu Ostern
karácsonykor,zu Weihnachten
szilveszterkor,zu Silvester
hébe hóba,ab und zu
