mind,alle
számítógépes játék,der Computerspiel
rossz,falsch
futball,der Fußball
gitár,die Gitarre
hobby,das Hobby
hall,hören
karate,das Karate
mászik,klettern
zene,die Musik
nem,nicht
vagy,oder
lovagol,reiten
helyes,richtig
görkorcsolyázik,skaten
táncol,tanzen
telefonál,telefonieren
ő,er
osztály,die Klasse
Ő,sie
tenisz,das Tennis
kérem,bitte
beszél,sprechen / spricht
itt,hier
nevet,lachen
mi,wir
szám,die Zahl
szám,die Nummer
chat,der Chat
a / ez,das 
a,der 
a,die 
család,die Familie
nagymama,die Großmutter
nagypapa,der Großvater
gyerek,das Kind
enyém,mein / meine
anya,die Mutter
apa,der Vater
kisbaba,das Baby
nyúl,der Hase
tehén,die Kuh
nagymama,die Oma
nagybácsi,der Onkel
nagypapa,der Opa
ló,das Pferd
fia,der Sohn
nagynéni,die Tante
lánya,die Tochter
fiútestvér,der Bruder
ez / az,es
(lány)testvér,die Schwester
vannak,sind sein
szülők,die Eltern
nagyszülők,die Großeltern
ők,sie
-tól;-től,von
egy,ein / eine
nő,die Frau
macska,die Katze
férfi,der Mann
tied,dein / deine
blog,der Blog
blogol,bloggen
fotóalbum,das Fotoalbum
barát,der Freund
haj,das Haar
év,das Jahr
ketchup,der Ketschup
piros,rot
gúnynév,der Spitzname
miért,warum
barátnő,die Freundin
-ból;ból,aus
innen,daher
Németország,Deutschland
jön,kommen
Liechtenstein,Liechtenstein
Ausztria,Österreich
Svájc,die Schweiz
honnan,woher
kor,das Alter
utazik,fahren / fährt
kerékpár,das Fahrrad
furulya,die Flöte
francia,das Französisch
-ban;-ben,in (wo?)
olasz,das Italienisch
ország,das Land
olvas,lesen / liest
sí,der Ski
nyelv,die Sprache
város,die Stadt
Törökország,die Türkei
török,das Türkisch
sok,viel
lakik,wohnen
hol,wo
telefonszám,die Telefonnummer
focista,der Fußballspieler
zeneszerző,der Komponist
szúnyog,die Mücke
felé,nach (wohin?)
osztrák,der Österreicher
színész,der Schauspieler
dal,der Song
sportoló,der Sportler
híres,berühmt
különösen,besonders
rajongó,der Fan
film,der Film
filmsorozat,die Filmserie
Forma 1 pilóta,der Formel-1-Fahrer
focista,die Fußballspielerin
zongora,das Klavier
zeneszerző,die Komponistin
kedvenc könyv,das Lieblingsbuch
kedvenc játékos,der Lieblingsspieler
vidám,lustig
szeret,mögen / mag
színésznő,die Schauspielerin
gyors,schnell
szép,schön
írónő,die Schriftstellerin
izgalmas,spannend
sportolónő,die Sportlerin
szuper,super
egyesület,der Verein
világbajnok,der Weltmeister
pop,der Pop
festő,der Maler
visszafelé,rückwärts
rím,der Reim
németül,auf Deutsch
ceruza,der Bleistift
írótömb,der Block
kenyértartó,die Brotdose
könyv,das Buch
színes ceruza,der Buntstift
töltőtoll,der Füller
füzet,das Heft
ragasztó,der Klebestift
golyóstoll,der Kuli
vonalzó,das Lineal
festődoboz,der Malkasten
tolltartó,das Mäppchen
mappa,die Mappe
ecset,der Pinsel
radír,der Radiergummi
olló,die Schere
iskolai holmik,die Schulsachen
iskolatáska,die Schultasche
hegyező,der Spitzer
kulacs,die Trinkflasche
nem,kein / keine
kék,blau
barna,braun
szín,die Farbe
sárga,gelb
pontosan,genau
szürke,grau
zöld,grün
lila,lila
narancssárga,orange
rózsaszín,rosa
fekete,schwarz
fehér,weiß
vastag,dick
vékony,dünn
szögletes,eckig
nagy,groß
kicsi,klein
könnyű,leicht
kerek,rund
nehéz,schwer
labda,der Ball
szemüveg,die Brille
hoz,bringen
számítógép,der Computer
dolog,das Dingsda
kerékpáros sisak,der Fahrradhelm
fényképez,fotografieren
szerencse,das Glück
mobiltelefon,das Handy
lóg,hängen
műanyag,das Plastik
számol,rechnen
kulcs,der Schlüssel
plüssállat,das Stofftier
zsebszámológép,der Taschenrechner
szüksége van,brauchen
sporttáska,die Sporttasche
van,haben / hat
bonbon,der Bonbon
dolog,das Ding
Hány?,Wie viele?
vesz,kaufen
minden,alles
euro,der Euro
kár,schade
táska,die Tasche
-on;-en;-ön,an (wo?)
matrica,der Aufkleber
cent,der Cent
kabala,der Glücksbringer
gumi,der Gummi
szív,das Herz
dolgozat,die Klassenarbeit
természetesen,natürlich
kulcscsomó,der Schlüsselbund
malac,das Schwein
minden esetre,auf jeden Fall
kap,bekommen
benne,drin
egy pár,ein paar
vers,das Gedicht
mindig,immer
lufi,der Luftballon
magával visz,mitnehmen / nimmt mit
sál,der Schal
iskola,die Schule
iskolakezdők édességcsomagja,die Schultüte
zsebkendő,das Taschentuch
étkező,das Esszimmer
ablak,das Fenster
kert,der Garten
ház,das Haus
konyha,die Küche
hálószoba,das Schlafzimmer
ajtó,die Tür
lakószoba,das Wohnzimmer
zuhanyzik,duschen
hobbit,der Hobbit
főz,kochen
alszik,schlafen / schläft
eszik,essen / isst
hisz,glauben
ti,ihr
gyerekszoba,das Kinderzimmer
ül,sitzen
tényleg,wirklich
klassz,toll
ágy,das Bett
kép,das Bild
színes,bunt
itt,da
sötét,dunkel
világos,hell
tietek,ihr / ihre
lámpa,die Lampe
olvasólámpa,die Leselampe
fekszik,liegen
polc,das Regal
szekrény,der Schrank
íróasztal,der Schreibtisch
övé,sein / seine
játszócucc,die Spielsachen
áll,stehen
ceruza,der Stift
szék,der Stuhl
megoszt,teilen
szőnyeg,der Teppich
asztal,der Tisch
fal,die Wand
meglehetősen,ziemlich
szoba,das Zimmer
de,aber
pályaudvar,der Bahnhof
könyvtár,die Bibliothek
Hamarosan találkozunk!,Bis bald!
busz,der Bus
nagyon,extrem
TV-torony,der Fernsehturm
udvar,der Hof
osztályfőnök,die Klassenlehrerin
hangos,laut
tanár,der Lehrer
perc,die Minute
haza,nach Hause
kedves,nett
új,neu
park,der Park
szünet,die Pause
tér,der Platz
uszoda,das Schwimmbad
sportcsarnok,die Sporthalle
stadion,das Stadion
utca,die Straße
édes,süß
teljesen,total
metró,die U-Bahn
hét,die Woche
lakás,die Wohnung
állatkert,der Zoo
futballpálya,der Fußballplatz
falu,das Dorf
van,es gibt
másik,andere
ezzel,damit
tart,dauern
körülbelül,etwa
megy,gehen
unalmas,langweilig
fut,laufen /läuft
némelyik,manche
több,mehr
többnyire,meistens
iskolába vezető út,der Schulweg
szórakozás,der Spaß
villamos,die Straßenbahn
edz,trainieren
edzés,das Training
útközben,unterwegs
időjárás,das Wetter
Mennyi ideig?,Wie lange?
gyalog megy,zu Fuß gehen
egyedül,allein
beenged,einlassen /lässt ein
nyit,öffnen
becsuk,schließen
álmodik,träumen
sír,weinen
balett,das Ballett
kedd,der Dienstag
csütörtök,der Donnerstag
péntek,der Freitag
ma,heute
szerda,der Mittwoch
hétfő,der Montag
holnap,morgen
szombat,der Samstag
vasárnap,der Sonntag
teszt,der Test
mikor,wann
jóga,das Yoga
tök jó,cool
szabad,frei
angol,das Englisch
etika,die Ethik
művészet,die Kunst
matek,die Mathematik
matek,die Mathematik
vallás,die Religion
környezetismeret,der Sachunterricht
órarend,der Stundenplan
technika óra,das Werken
házi feladat,die Hausaufgabe
soha,nie
csak,nur
ostobaság,der Quatsch
óra,die Stunde
hülye,blöd
levelezőtárs,die Brieffreundin
tantárgy,das Fach
talál,finden
egész,ganz
internet,das Internet
klassz,klasse
kedvenc tantárgy,das Lieblingsfach
matektanár,der Mathelehrer
iskolatárs,der Mitschüler
oké,okay
videó,das Video
röplabda,der Volleyball
iskolatárs,die Mitschülerin
lemásol,abschreiben / schreibt ab
felhív,anrufen / ruft an
kitakarit,aufräumen / räumt auf
osztályterem,das Klassenzimmer
ellenőriz,kontrollieren
szöveg,der Text
felolvas,vorlesen / liest vor
hallgat,zuhören / hört zu
visszaad,zurückgeben / gibt zurück
tanítás,der Unterricht
szó,das Wort
alma,der Apfel
kenyér,das Brot
végre,endlich
egészséges,gesund
joghurt,der Joghurt
sajt,der Käse
sajtos szendvics,das Käsebrot
finom,lecker
müzliszelet,der Müsliriegel
narancslé,der Orangensaft
ízlik,schmecken
iskolaudvar,der Schulhof
iskolai büfé,der Schulkiosk
almalé,der Apfelsaft
zsemle,das Brötchen
éhség,der Hunger
kakaó,der Kakao
kerül,kosten
szeretne,möchte
sonka,der Schinken
sonkás szendvics,das Schinkenbrot
csokiszelet,der Schokoriegel
aztán,dann
egyszer,einmal
valami,etwas
TV-t néz,fernsehen / sieht fern
óvoda,der Kindergarten
kedvenc étel,das Lieblingsessen
délután,der Nachmittag
még,noch
-ként,pro
spagetti,die Spaghetti
ebédel,zu Mittag essen / isst zu Mittag
először,zuerst
este,der Abend
bevásárol,einkaufen / kauft ein
reggel,der Morgen
délelőtt,der Vormittag
-ra;-re,zu
betű,der Buchstabe
óra,die Uhr
idő,die Zeit
reggelizik,frühstücken
fél,halb
után,nach (wann?)
negyed,das Viertel
előtt,vor (wann?)
előtt,vor (wann?)
-kor,um
reggeli,das Frühstück
keksz,der Keks
sütemény,der Kuchen
néha,manchmal
müzli,das Müsli
gyakran,oft
lé,der Saft
iszik,trinken
-tól-ig,von ... bis
tojás,das Ei
uborka,die Gurke
méz,der Honig
lekvár,die Marmelade
tej,die Milch
tea,der Tee
paradicsom,die Tomate
kolbász,die Wurst
majdnem,fast
hétvége,das Wochenende
kipróbál,ausprobieren / probiert aus
saját,eigene
zöldség,das Gemüse
hip-hop,der Hip-Hop
fej,der Kopf
kedv,die Lust
csinál vele,mitmachen / macht mit
sakk,das Schach
iskolakert,der Schulgarten
színház,das Theater
együtt,zusammen
barkácsol,basteln
kísérlet,das Experiment
-nak;-nek,für
érdekes,interessant
mozi,das Kino
Világos!,klar
mászópark,der Kletterpark
múzeum,das Museum
bátor,mutig
nyitvatartási idő,die Öffnungszeit
naponta,täglich
tipp,der Tipp
kell,müssen / muss
ötlet,die Idee
tud,können / kann
talán,vielleicht
tud,wissen / weiß
leves,die Suppe
semmi,gar nichts
visszamegy,zurückgehen / geht zurück
április,der April
augusztus,der August
december,der Dezember
február,der Februar
születésnap,der Geburtstag
január,der Januar
július,der Juli
június,der Juni
május,der Mai
március,der März
november,der November
október,der Oktober
szeptember,der September
Minden jót!,Alles Gute!
születésnap-naptár,der Geburtstagskalender
hónap,der Monat
ajándék,das Geschenk
Minden jót!,Herzlichen Glückwunsch!
buli,die Party
már,schon
Sok boldogságot!,Viel Glück!
kíván,wünschen
cim,die Adresse
meghív,einladen /lädt ein
meghívó,die Einladung
ünnepel,feiern
kerti buli,die Gartenparty
születésnapi buli,die Geburtstagsparty
magával visz,mitbringen / bringt mit
játszótér,der Spielplatz
sportcipő,der Sportschuh
fontos,wichtig
legjobb,beste
beteg,krank
kit,wen
szívélyes,herzlich
jég,das Eis
jelmez,das Kostüm
szörny,das Monster
énekesnő,die Sängerin
DVD,die DVD
tetszik,gefallen / gefällt
farmer,die Jeans
pulóver,der Pullover
gyűrű,der Ring
hátizsák,der Rucksack
cipő,der Schuh
póló,das T-Shirt
jobb,besser
chips,die Chips
cola,die Cola
kártya,die Karte
inkább,lieber
pizza,die Pizza
csokitorta,die Schokoladentorte
süt,backen
virág,die Blume
születésnapi üdvözlőlap,die Geburtstagskarte
segít,helfen / hilft
osztálybuli,die Klassenparty
díszít,schmücken
meglepetés buli,die Überraschungsparty
hangszer,das Instrument
szervez,organisieren
köszön,danken
Afrika,Afrika
Ázsia,Asien
Ausztrália,Australien
ez,diese
Európa,Europa
veszélyes,gefährlich
él,leben
Észak-Amerika,Nordamerika
pingvin,der Pinguin
kígyó,die Schlange
Dél-Amerika,Südamerika
hús,das Fleisch
repül,fliegen
eszik,fressen / frisst
eledel,das Futter
súly,das Gewicht
méret,die Größe
kilogramm,das Kilogramm
hossz,die Länge
méter,der Meter
növény,die Pflanze
kúszik,robben
ugrik,springen
búvárkodik,tauchen
állat szótár,das Tierlexikon
melyik,welche
centiméter,der Zentimeter
-ig,bis
Ön,Sie
méhecske,die Biene
mászik,kriechen
mély,tief
akció,die Aktion
feladat,die Aufgabe
kiállitás,die Ausstellung
tietek,euer / eure
együtt,gemeinsam
hörcsög,der Hamster
háziállat,das Haustier
kalitka,der Käfig
ápol,pflegen
plakát,das Plakat
terv,der Plan
tervez,planen
tisztít,sauber machen
teknős,die Schildkröte
iskolai ünnepség,das Schulfest
pók,die Spinne
mienk,unser / unsere
bemutat,vorstellen / stellt vor
üdvözlet,willkommen
tengerimalac,das Meerschweinchen
saláta,der Salat
szem,das Auge
has,der Bauch
Láb,das Bein
orr,die Nase
fül,das Ohr
hát,der Rücken
farok,der Schwanz
válaszol,antworten
biológia,die Biologie
ellenben,dagegen
e-mail,die E-Mail
komoly,ernst
kérdés,die Frage
kérdez,fragen
működik,funktionieren
ad,geben / gibt
üzlet,das Geschäft
remél,hoffen
felvilágosítás,die Information
házinyúl,das Kaninchen
enyémet,meinen
probléma,das Problem
mond,sagen
lát,sehen / sieht
állatos újság,das Tiermagazin
szomorú,traurig
rábeszél,überreden
kevés,wenig
állatkereskedés,das Zoogeschäft
sétál,spazieren gehen
munkanap,der Arbeitstag
foglalkozás,der Beruf
operál,operieren
állatorvosnő,die Tierärztin
állatkert igazgatónő,die Zoodirektorin
állatgondozó,der Tierpfleger
fókák etetése,die Robbenfütterung
kakadu,der Kakadu
olvasói levél,der Leserbrief
fa,der Baum
virágzik,blühen
fű,das Gras
forró,heiß
hideg,kalt
eső,der Regen
esik az eső,regnen
tűnik,scheinen
hó,der Schnee
havazik,schneien
nap,die Sonne
meleg,warm
lesz,werden / wird
szél,der Wind
felhő,die Wolke
fürdik,baden
épít,bauen
sárkány,der Drachen
ünnep,das Fest
tavasz,der Frühling
ősz,der Herbst
évszak,die Jahreszeit
gesztenye,die Kastanie
ember,mann
piknik,das Picknick
gyűjt,sammeln
korcsolya,der Schlittschuh
hógolyó,der Schneeball
hóember,der Schneemann
nyár,der Sommer
reptet,steigen lassen / lässt steigen
dob,werfen / wirft
tél,der Winter
természet,die Natur
üdvözöl,begrüßen
berliner sütemény,der Berliner
meglátogat,besuchen
színez,färben
Farsang,der Fasching
Farsang,die Fastnacht
tűzijáték,das Feuerwerk
boldog,fröhlich
sütemény,das Gebäck
Szenteste,der Heiligabend
karnevál,der Karneval
templom,die Kirche
mézeskalács,der Lebkuchen
ember,der Mensch
éjfél,die Mitternacht
következő,nächste
éjszaka,die Nacht
húsvéti tojás,das Osterei
húsvéti nyúl,der Osterhase
húsvét,das Ostern
aprósütemény,das Plätzchen
szilveszter,das Silvester
utcai ünnep,das Straßenfest
keres,suchen
édesség,die Süßigkeit
tánc,der Tanz
visel,tragen
karácsony,das Weihnachten
karácsonyfa,der Weihnachtsbaum
karácsonyi dal,das Weihnachtslied
vége,zu Ende sein
-nál;-nél,bei
szünidő,die Ferien
pünkösd,das Pfingsten
hegy,der Berg
Boden-tó,der Bodensee
sziget,die Insel
tenger,das Meer
hajó,das Schiff
felmászik,steigen
akar,wollen / will
vonat,der Zug
hold,der Mond
snowboard,der Snowboard
sátor,das Zelt
fürdőruha,der Badeanzug
fürdőnadrág,die Badehose
vizparti nyaralás,der Badeurlaub
esődzseki,die Regenjacke
lovagló sisak,der Reithelm
lovagló nadrág,die Reithose
pizsama,der Schlafanzug
hálózsák,der Schlafsack
naptej,die Sonnenmilch
sporttábor,das Sportcamp
sportcuccok,die Sportsachen
zseblámpa,die Taschenlampe
búvárszemüveg,die Taucherbrille
sátortábor,das Zeltlager
nadrág,die Hose
dzseki,die Jacke
téli sapka,die Wintermütze
félelem,die Angst
kilátás,die Aussicht
parasztgazdaság,der Bauernhof
kinn,draußen
üdvözlet,der Gruß
főváros,die Hauptstadt
szálloda,das Hotel
szállodai szoba,das Hotelzimmer
most,jetzt
Horvátország,Kroatien
fenn,oben
búváriskola,die Tauchschule
traktor,der Traktor
víz,das Wasser
ismét,wieder
aha,Aha!
repülőgép,das Flugzeug
Alpok,die Alpen
tegnap,gestern
rakéta,die Rakete
idős,alt
vetélkedő,das Quiz
fürdőszoba,das Bad
erkély,der Balkon
-on;-en;-ön,auf
padszomszéd,die Banknachbarin
elkezdődik,anfangen / fängt an
felkel,aufstehen / steht auf
elfogyott,aus sein
-on;-en;-ön,an (wann?)
munkacsoport,die AG
dolgozik,arbeiten
banán,die Banane
elhoz,abholen / holt ab
