Egyiptom,Ägypten
fölött,über
alatt,unter
előtt,vor
nevezetesség,die Sehenswürdigkeit
kávéház,das Café
történik valami,los sein
piactér,der Marktplatz
aligátor,der Alligator
akvárium,das Aquarium
kémia,die Chemie
megtud,erfahren
felnőtt,der/die Erwachsene
földrész,der Kontinent
leguán,der Leguan
Természettörténeti Múzeum,das Naturkundemuseum
fizika,die Physik
óriás,der Riese
mélység,die Tiefe
rendezvény,die Veranstaltung
bálna,der Wal
múzeumi idegenvezető,der Museumsführer
prospektus,der Prospekt
medence,das Becken
nyitva,geöffnet
udvarias,höflich
összesen,insgesamt
liter,der Liter
jegy,das Ticket
értékelés,die Bewertung
dokumentum,das Dokument
szűk,eng
pozitív,positiv
dinoszaurusz,der Dinosaurier
kincs,der Schatz
családiház,das Einfamilienhaus
földszint,das Erdgeschoss
favázas ház,das Fachwerkhaus
toronyház,das Hochhaus
társasház,das Mehrfamilienhaus
sorház,das Reihenhaus
emelet,der Stock
almafa,der Apfelbaum
pékség,die Bäckerei
sarok,die Ecke
néz,gucken
közelség,die Nähe
parkol,parken
hinta,die Schaukel
utcaszegély,der Straßenrand
pingpongasztal,die Tischtennisplatte
Nemzeti Múzeum,das Nationalmuseum
ide,her
kijön,Herauskommen
ugrándozik,herumhüpfen
málnafagylalt,das Himbeereis
oda,hin
bemegy,hineingehen
hoz,holen
ugrál,hüpfen
közvetlenül,direkt
védett,geschützt
félsziget,die Halbinsel
Hallig-sziget,die Hallig
többször,mehrmals
Északi-tenger,die Nordsee
csónak,das Boot
undorító,eklig
leesik,fallen
dagály,die Flut
örül,sich freuen sich
kikötő,der Hafen
kocsikázik,herumfahren
hátrány,der Nachteil
juh,das Schaf
fóka,der Seehund
később,später
part,das Ufer
elajándékoz,verschenken
legelő,die Weide
ezenkívül,außerdem
elmagyaráz,erklären
kész,fertig
békés,friedlich
fő probléma,das Hauptproblem
segítség,die Hilfe
hangjáték,das Hörspiel
valamikor,irgendwann
láda,die Kiste
cucc,die Klamotten
ruházat,die Kleidung
megoldás,die Lösung
szemét,der Müll
megfog,nehmen
rend,die Ordnung
szétválogat,sortieren
úgyis,sowieso
zavar,stören
rendszer,das System
rendetlen,unordentlich
rendetlenség,die Unordnung
Minek?,Wozu?
valaki,jemand
párna,das Kissen
fiókos szekrény,die Kommode
dívány,das Sofa
mackó,der Teddy
váza,die Vase
választás,die Wahl
tesz,legen
állít,stellen
széthúz,Auseinanderziehen
mielőtt,bevor
pénzdarab,das Geldstück
túlnyúlik,hinausragen
nadrágzseb,die Hosentasche
szél,die Kante
közép,die Mitte
érme,die Münze
görget,rollen
csúcs,die Spitze
betesz,stecken
kendő,das Tuch
alátét,die Unterlage
eltűnik,verschwinden
varázsige,der Zauberspruch
bűvészmutatvány,der Zaubertrick
néző,der Zuschauer
lóg,hängen
jelzőlámpa,die Ampel
megálló,die Haltestelle
babakocsi,der Kinderwagen
motoros,der Motorradfahrer
rendőrautó,der Polizeiwagen
rendőr,der Polizist
kerekesszékes,der Rollstuhlfahrer
taxisofőr,der Taxifahrer
eladó,der Verkäufer
zebra,der Zebrastreifen
jármű,das Fahrzeug
valakié,gehören
bőrönd,der Koffer
közlekedési tábla,das Verkehrsschild
befordul,abbiegen
megáll,anhalten
járművel behajtás,die Einfahrt
tábla,das Schild
megáll,stoppen
tilos,verboten sein
figyel valamire,achten auf etwas
beköti a biztonsági övet,anschnallen sich
ügyel vmire,aufpassen
kiszáll,aussteigen
úttest,die Fahrbahn
áruház,das Kaufhaus
gyerekülés,der Kindersitz
soha,niemals
hirtelen,plötzlich
átkel,überqueren
forgalom,der Verkehr
elővigyázatos,vorsichtig
elutazik,wegfahren
hasonló,ähnlich
kínál,anbieten
munkaügyi hivatal,das Arbeitsamt
előadás,die Aufführung
üzem,der Betrieb
Dánia,Dänemark
népességnyilvántartó hivatal,das Einwohnermeldeamt
befizet,einzahlen
keletkezik,entstehen
esemény,das Ereignis
szakértő,der Experte
vendég,der Gast
vendéglő,das Gasthaus
főiskola,die Hochschule
Japán,Japan
munka,der Job
fiatal,der/die Jugendliche
kisvállalkozás,das Kleinunternehmen
koncert,das Konzert
ingyenes,kostenlos
felolvasás,die Lesung
kezdődik,losgehen
mini,mini
divatbemutató,die Modeschau
varr,nähen
olimpia,die Olympiade
útlevél,der Pass
személyes,persönlich
takarékbetétkönyv,das Sparbuch
játékszabály,die Spielregel
városi maraton,der Stadtmarathon
lezajlik,stattfinden
egyetemi hely,der Studienplatz
egyetemen tanul,studieren
részvétel,die Teilnahme
részt vesz,teilnehmen
pénzt keres,verdienen
különböző,verschieden
példakép,das Vorbild
előadás,die Vorlesung
pénznem,die Währung
kifizet,auszahlen
levél,der Brief
tervez,designen
nyomtat,drucken
feltalál,erfinden
gyár,die Fabrik
kertészet,die Gärtnerei
posta,die Post
rádióadás,die Radiosendung
tesztel,testen
kioszt,verteilen
reklámügynökség,die Werbeagentur
reklámplakát,das Werbeplakat
újság,die Zeitung
autószerelő műhely,die Autowerkstatt
bank,die Bank
divat,die Mode
teljesen,absolut
választék,die Auswahl
fagylaltozó és kávézó,das Eiscafé
megéri,sich lohnen sich
mangó,die Mango
adag,die Portion
drága,teuer
tölcsér,die Waffel
citrom,die Zitrone
ananász,die Ananas
banánsplit,das Bananensplit
epres fagylaltkehely,der Erdbeerbecher
eper,die Erdbeere
ital,das Getränk
málna,die Himbeere
kávé,der Kaffee
sajnál,leidtun
turmix,der Milchshake
ásványvíz,das Mineralwasser
dió,die Nuss
tejszín,die Sahne
szósz,die Sauce
nasi,der Snack
fajta,die Sorte
étlap,die Speisekarte
sztracsatella,das Stracciatella
pirítós,der Toast
vanília,die Vanille
dió,die Walnuss
elfogyott,aus sein
fizet,bezahlen
üveg,das Glas
azonnal,sofort
választ,wählen
fizet,zahlen
vissza,zurück
végződik,enden
észak,der Norden
kelet,der Osten
rétoromán,Rätoromanisch
dél,der Süden
rész,der Teil
nyugat,der Westen
lakos,der Einwohner
terület,die Fläche
kanton,der Kanton
millió,die Million
négyzetkilométer,der Quadratkilometer
leírás / jellemzés,der Steckbrief
megpróbál,probieren
ismert,bekannt
lakható,bewohnbar
gyorskorcsolyázó,der Eisschnellläufer
fejleszt,entwickeln
gyümölcs,die Frucht
bíróság,das Gericht
gleccser,der Gletscher
zabpehely,die Haferflocken
előállítás,die Herstellung
gyógynövény,die Kräuter
üdítőital,die Limonade
lyuk,das Loch
raklett,das Raclette
maradék,der Rest
röszti,die Rösti
síugró,der Skispringer
jelkép,das Symbol
összeköt,verbinden
világhírű,weltberühmt
kitöm,ausstopfen
kiszabadít,befreien
hegyi átjáró,der Bergübergang
bunda,das Fell
szabaddá tesz,freimachen
hős,der Held
akármilyen,irgendein
alig,kaum
erős,Körperbau
lavina,die kräftig
szerzetes,der Lawine
ugyanis,Mönch
Természettudományi Múzeum,das nämlich
hágó,der Naturhistorisches Museum
megment,Pass
szimat,die retten
halál,der Spürnase
betemet,Tod
tenyészt,verschütten
védelmező,der züchten
sűrű,Beschützer
barátságos,dicht
türelmes,freundlich
intelligens,geduldig
gyerekszerető,intelligent
hű,kinderlieb
Figyelem!,treu
segítség,die Achtung!
megváltoztat,Rettung
azték,der ändern
keserű,Azteke
néhány,bitter
találmány,die einige
meghódít,Erfindung
megnyit,erobern
következik,eröffnen
terület,das folgen
indián,der Gebiet
évszázad,das Indianer
évente,Jahrhundert
kakaóbab,die jährlich
ismer,Kakaobohne
manufaktúra,die kennen
márka,die Manufaktur
gép,die Marke
tömeg,die Maschine
nevez,Masse
bors,der nennen
kever,Pfeffer
olvadékony,rühren
csokoládétábla,die schmelzend
tengerész,der Schokoladentafel
spanyol,der Seefahrer
spanyol,Spanier
órák hosszat,spanisch
felhasznál,stundenlang
számos,verwenden
cukor,der zahlreich
kínai,der Zucker
gumimaci,das Chinese
rágógumi,der Gummibärchen
nyalóka,der Kaugummi
Sacher-torta,die Lolli
olvad,Sachertorte
turista,der schmelzen
tejcsokoládé,die Tourist
nyelv,die Vollmilchschokolade
lassan,Zunge
rendszerint,langsam
testfelépítés,der normalerweise
őriz,bewachen
király,der König
királynő,die Königin
korona,die Krone
kocsi,die Kutsche
lándzsa,die Lanze
lovag,der Ritter
őr,der Wächter
címer,das Wappen
rövidítés,die Abkürzung
hétköznap,der Alltag
elkészít,anrichten
különben,ansonsten
kiáll,antreten
rajta van,aufhaben
befed,bedecken
megvéd,beschützen
sör,das Bier
mellvért,der Brustpanzer
várkisasszony,das Burgfräulein
alatta,darunter
dozensnő,die Dozentin
vasból való,eisern
elbeszélés,die Erzählung
díszterem,der Festsaal
korán,früh
folytat,führen
bélelt,gefüttert
egymás ellen,gegeneinander
fűszer,das Gewürz
kesztyű,der Handschuh
ing,das Hemd
harcol,kämpfen
gyertya,die Kerze
páncéling,das Kettenhemd
háború,der Krieg
fény,das Licht
középkor,das Mittelalter
gyümölcs,das Obst
nyitva,offen
karton,die Pappe
nyil,der Pfeil
párna,das Polster
szabályosan,regelrecht
gazdag,reich
páncél,die Rüstung
só,das Salz
pajzs,der Schild
rés,der Schlitz
kard,das Schwert
egyetemista diák,der Student
csupor,der Topf
egyetem,die Universität
fal,verschlingen
megígér,versprechen
mialatt,während
zeke,das Wams
bor,der Wein
ízesít,würzen
felvesz,anziehen
szegény,arm
hamu,die Asche
Hamupipőke,das Aschenputtel
kikeres,aussuchen
meglocsol,begießen
belép vhová,betreten
mérges,böse
menyasszony,die Braut
de,doch
el,fort
idegen,fremd
arany,das Gold
sír,das Grab
megházasodik,heiraten
kiolvas,herauslesen
lencse,die Linse
mese,das Märchen
ültet,pflanzen
csipeget,picken
hív,rufen
megráz,rütteln
üt,schlagen
piszkos,schmutzig
ráz,schütteln
önt,schütten
ezüst,das Silber
meghal,sterben
mostohaanya,die Stiefmutter
könny,die Träne
ismeretlen,unbekannt
gyönyörű,wunderschön
varázslat,der Zauber
elégedett,zufrieden
követ,der Bote
szobalány,das Dienstmädchen
esküvő,die Hochzeit
illik,passen
csodálkozik,staunen
megpróbál,versuchen
nép,das Volk
belépés,der Eintritt
gimnázium,das Gymnasium
modern,modern
bemutat,präsentieren
csizma,der Stiefel
színtársulat,die Theatergruppe
színdarab,das Theaterstück
tornacsarnok,die Turnhalle
előadás,die Vorstellung
amikor,als wann
izgatott,aufgeregt sein
érzés,das Gefühl
alapít,gründen
próbál,proben
szerep,die Rolle
hang,die Stimme
parasztfiú,der Bauernsohn
tündér,die Fee
róka,der Fuchs
szellem,das Gespenst
boszorkány,die Hexe
hatalmas,mächtig
pantomim,die Pantomime
varázsló,der Zauberer
rövid hir,die Kurznachricht
ritkán,selten
sorozat,die Serie
szörföl,surfen
elküld,verschicken
újság,die Zeitschrift
aktuális,aktuell
alkalmazás,die App
éppen,gerade
letölt,Herunterladen
megy,laufen
adó,der Sender
okostelefon,das Smartphone
világ,die Welt
tudósítás,der Bericht
hírek,die Nachrichten
kvíz,das Quiz
adás,die Sendung
érzelmes,emotional
informativ,informativ
bonyolult,kompliziert
média,das Medium
hír,die Meldung
egyveleg,der Mix
szerkesztő,der Redakteur
sugároz,senden
téma,das Thema
környezet,die Umwelt
tudomány,die Wissenschaft
magazin,das Magazin
-tól,ab
megválaszol,beantworten
kitalált,fiktiv
informál,informieren
bentlakásos iskola,das Internat
vezet,leiten
műsorvezető,der Moderator
politika,die Politik
technika,die Technik
Milyen?,Was für ein/e?
politikai,politisch
érthető,verständlich
dzsungel,der Dschungel
filmszereplő,die Filmfigur
bosszant vkit,ärgern (jemanden)
tulajdonos,der Besitzer
csetel,chatten
lusta,faul
kövér,fett
humor,der Humor
csapat,die Mannschaft
mennyiség,die Menge
show,die Show
kifut,überkochen
vadon,die Wildnis
vicc,der Witz
kikapcsol,ausschalten
képernyő,der Bildschirm
függő,süchtig
alkohol,der Alkohol
ural,beherrschen
érdeklődik,interessieren
üldöz,jagen
unalom,die Langeweile
időben,rechtzeitig
megtilt,verbieten
múlik,vergehen
videó,das Video
cigaretta,die Zigarette
betart,einhalten
lista,die Liste
elmegy otthonról,rausgehen
csinál valamit,unternehmen
megállapodik,verabreden
Jó étvágyat!,Guten Appetit!
ebéd,das Mittagessen
pontos,pünktlich
kell,sollen
fogorvos,der Zahnarzt
építőkészlet,der Baukasten
kutyaól,die Hundehütte
felmérés,die Umfrage
kórus,der Chor
tábla,die Tafel
egyenruha,die Uniform
bizonyítvány,das Zeugnis
brazil,brasilianisch
Brazilia,Brasilien
egységes,einheitlich
terület,das Gelände
Nagy-Britannia,Großbritannien
általános iskola,die Grundschule
Olaszország,Italien
vizsga,die Prüfung
pont,der Punkt
megbukik,sitzen bleiben
stressz,der Stress
középiskola,weiterführende Schule
máshol,woanders
mellette van,dafür sein
zárva,geschlossen
eszményi,ideal
csöngetés,das Klingelzeichen
latin,das Latein
teljesítmény,die Leistung
kinyit,öffnen
találós kérdés,die Scherzfrage
kiabál,schreien
bújócskázik,verstecken spielen
bemutatkozik,vorstellen sich
patkó,das Hufeisen
csikóhal,das Seepferdchen
szörf igazolvány,der Surfschein
letesz (vizsgát),bestehen (Prüfung)
fájl,die Datei
információ,die Information
írásbeli,schriftlich
gyakorlat,die Praxis
munkafüzet,das Arbeitsheft
bajor,bayrisch
mert,denn
veszély,die Gefahr
beszélgetés,das Gespräch
lehetséges,möglich
kiváncsi,neugierig
rendőr,der Polizeibeamte
gyakorlati,praktisch
biztonság,die Sicherheit
hanem,sondern
elméleti,theoretisch
elmélet,die Theorie
biztonságos közlekedésre nevelés,die Verkehrserziehung
elkerül,vermeiden
negyedikes,der Viertklässler
felkészül valamire,vorbereiten sich
ismétlés,die Wiederholung
bosszankodik,sich ärgern sich
biológia,die Biologie
történelem,die Geschichte
csönget,klingeln
unatkozik,sich langweilen
találkozik,sich treffen sich
ébresztőóra,der Wecker
találkozóhely,der Treffpunkt
