<img src=""><br>állat,<img src=""><br>animal
<img src=""><br>sportközpont,<img src=""><br>sports centre
<img src=""><br>sportcsapat,<img src=""><br>sports team
<img src=""><br>tér,<img src=""><br>square
<img src=""><br>utca,<img src=""><br>street
<img src=""><br>úszómedence,<img src=""><br>swimming pool
<img src=""><br>magas,<img src=""><br>tall
<img src=""><br>színház,<img src=""><br>theatre
<img src=""><br>turisztikai,<img src=""><br>tourist
<img src=""><br>turisztikai információs központ,<img src=""><br>tourist information centre
<img src=""><br>vasútállomás,<img src=""><br>train station
<img src=""><br>közlekedés,<img src=""><br>transport
<img src=""><br>fa,<img src=""><br>tree
<img src=""><br>csúnya,<img src=""><br>ugly
<img src=""><br>barátságtalan,<img src=""><br>unfriendly
<img src=""><br>üdvözöljük,<img src=""><br>welcome
<img src=""><br>állatkert,<img src=""><br>zoo
<img src=""><br>hozzáadás,<img src=""><br>add
<img src=""><br>szintén,<img src=""><br>also
<img src=""><br>mindig,<img src=""><br>always
<img src=""><br>pékség,<img src=""><br>bakery
<img src=""><br>grillezés,<img src=""><br>barbecue
<img src=""><br>testvér,<img src=""><br>brother
<img src=""><br>fogmosás,<img src=""><br>brush my teeth
<img src=""><br>karnevál,<img src=""><br>carnival
<img src=""><br>ünneplés,<img src=""><br>celebrate
<img src=""><br>ünneplés,<img src=""><br>celebration
<img src=""><br>híresség,<img src=""><br>celebrity
<img src=""><br>online csevegés,<img src=""><br>chat online
<img src=""><br>csevegés barátokkal,<img src=""><br>chat with friends
<img src=""><br>koncert,<img src=""><br>concert
<img src=""><br>főzőtanfolyam,<img src=""><br>cooking class
<img src=""><br>kulturális kvíz,<img src=""><br>culture quiz
<img src=""><br>napi rutin,<img src=""><br>daily routine
<img src=""><br>tánc,<img src=""><br>dance
<img src=""><br>táncverseny,<img src=""><br>dance competition
<img src=""><br>lánya,<img src=""><br>daughter
<img src=""><br>leckét csinálok,<img src=""><br>do my homework
<img src=""><br>korán,<img src=""><br>early
<img src=""><br>óriási,<img src=""><br>enormus
<img src=""><br>arcfestés,<img src=""><br>face painting
<img src=""><br>tűzijáték,<img src=""><br>fireworks
<img src=""><br>általános,<img src=""><br>general
<img src=""><br>hazaérni,<img src=""><br>get home
<img src=""><br>felkelni,<img src=""><br>get up
<img src=""><br>ajándékozni,<img src=""><br>give presents
<img src=""><br>menni a családoddal vagy a barátaiddal,<img src=""><br>go out with your family or friends
<img src=""><br>lefeküdni,<img src=""><br>go to bed
<img src=""><br>iskolába menni,<img src=""><br>go to school
<img src=""><br>unoka,<img src=""><br>granddaughter
<img src=""><br>különleges családi étkezés,<img src=""><br>have a special family meal
<img src=""><br>szünetet tartani,<img src=""><br>have a break
<img src=""><br>reggelizni,<img src=""><br>have breakfast
<img src=""><br>órákat venni,<img src=""><br>have classes
<img src=""><br>vacsorázni,<img src=""><br>have dinner
<img src=""><br>ebédelni,<img src=""><br>have lunch
<img src=""><br>segíteni,<img src=""><br>help
<img src=""><br>segíteni a házimunkában,<img src=""><br>help with the housework
<img src=""><br>nemzetközi,<img src=""><br>international
<img src=""><br>meghívni embereket a házadba,<img src=""><br>invite people to your house
<img src=""><br>oroszlán,<img src=""><br>lion
<img src=""><br>mini,<img src=""><br>mini
<img src=""><br>minibusz,<img src=""><br>minibus
<img src=""><br>soha,<img src=""><br>never
<img src=""><br>normális esetben,<img src=""><br>normally
<img src=""><br>gyakran,<img src=""><br>often
<img src=""><br>szervezett,<img src=""><br>organized
<img src=""><br>felvonulás,<img src=""><br>parade
<img src=""><br>szülő,<img src=""><br>parent
<img src=""><br>zenélni,<img src=""><br>play music
<img src=""><br>videojátékozni,<img src=""><br>play video games
<img src=""><br>műsor,<img src=""><br>programme
<img src=""><br>váltó,<img src=""><br>relay
<img src=""><br>énekelni,<img src=""><br>sing songs
<img src=""><br>nővér,<img src=""><br>sister
<img src=""><br>alvás,<img src=""><br>sleep
<img src=""><br>kanapé,<img src=""><br>sofa
<img src=""><br>néha,<img src=""><br>sometimes
<img src=""><br>fia,<img src=""><br>son
<img src=""><br>hang,<img src=""><br>sound
<img src=""><br>különleges,<img src=""><br>special
<img src=""><br>tanulni,<img src=""><br>study
<img src=""><br>nyár,<img src=""><br>summer
<img src=""><br>általában,<img src=""><br>usually
<img src=""><br>embereket meglátogatni,<img src=""><br>visit people
<img src=""><br>arcot mosni,<img src=""><br>wash my face
<img src=""><br>mosogatni,<img src=""><br>wash the dishes
<img src=""><br>videót nézni,<img src=""><br>watch videos or TV
<img src=""><br>őrült ruhákat vagy jelmezeket viselni,<img src=""><br>wear crazy clothes or costumes
<img src=""><br>weboldal,<img src=""><br>website
<img src=""><br>körülbelül,<img src=""><br>about
<img src=""><br>fogadj örökbe,<img src=""><br>adopt
<img src=""><br>elképesztő,<img src=""><br>amazing
<img src=""><br>körül,<img src=""><br>around
<img src=""><br>cikk,<img src=""><br>article
<img src=""><br>visszafelé,<img src=""><br>backwards
<img src=""><br>denevér,<img src=""><br>bat
<img src=""><br>medve,<img src=""><br>bear
<img src=""><br>gyönyörű,<img src=""><br>beautiful
<img src=""><br>kihal,<img src=""><br>become extinct
<img src=""><br>között,<img src=""><br>between
<img src=""><br>pillangó,<img src=""><br>butterfly
<img src=""><br>teve,<img src=""><br>camel
<img src=""><br>karibu,<img src=""><br>caribou
<img src=""><br>macska,<img src=""><br>cat
<img src=""><br>mászófal,<img src=""><br>climbing wall
<img src=""><br>közeli,<img src=""><br>close-up
<img src=""><br>színes,<img src=""><br>colorful
<img src=""><br>gyakori,<img src=""><br>common
<img src=""><br>kommunikál,<img src=""><br>communicate
<img src=""><br>lény,<img src=""><br>creature
<img src=""><br>krokodil,<img src=""><br>crocodile
<img src=""><br>tánc salsa,<img src=""><br>dance salsa
<img src=""><br>veszély,<img src=""><br>danger
<img src=""><br>kutya,<img src=""><br>dog
<img src=""><br>ital,<img src=""><br>drink
<img src=""><br>unalmas,<img src=""><br>dull
<img src=""><br>sas,<img src=""><br>eagle
<img src=""><br>enni,<img src=""><br>eat
<img src=""><br>elefánt,<img src=""><br>elephant
<img src=""><br>magyarázat,<img src=""><br>explain
<img src=""><br>gazdálkodás,<img src=""><br>farming
<img src=""><br>filmsztár,<img src=""><br>film star
<img src=""><br>hal,<img src=""><br>fish
<img src=""><br>horgászat,<img src=""><br>fishing
<img src=""><br>légy,<img src=""><br>fly
<img src=""><br>például,<img src=""><br>for eample
<img src=""><br>béka,<img src=""><br>frog
<img src=""><br>zsiráf,<img src=""><br>giraffe
<img src=""><br>gorilla,<img src=""><br>gorilla
<img src=""><br>nő,<img src=""><br>grow
<img src=""><br>hall,<img src=""><br>hear
<img src=""><br>nehéz,<img src=""><br>heavy
<img src=""><br>hot dog,<img src=""><br>hot dog
<img src=""><br>vadászat,<img src=""><br>hounting
<img src=""><br>ugrás,<img src=""><br>jump
<img src=""><br>öl,<img src=""><br>kill
<img src=""><br>föld,<img src=""><br>land
<img src=""><br>szórólap,<img src=""><br>leaflet
<img src=""><br>láb,<img src=""><br>leg
<img src=""><br>tetszik,<img src=""><br>like
<img src=""><br>lista,<img src=""><br>list
<img src=""><br>él,<img src=""><br>live
<img src=""><br>sok,<img src=""><br>many
<img src=""><br>mozgás,<img src=""><br>move
<img src=""><br>hangszer,<img src=""><br>musical instrument
<img src=""><br>nemzeti park,<img src=""><br>national park
<img src=""><br>Északi-sark,<img src=""><br>North Pole
<img src=""><br>polip,<img src=""><br>octopus
<img src=""><br>strucc,<img src=""><br>ostrich
<img src=""><br>panda,<img src=""><br>panda
<img src=""><br>bolygó,<img src=""><br>planet
<img src=""><br>szennyezés,<img src=""><br>pollution
<img src=""><br>véd,<img src=""><br>protect
<img src=""><br>gyorsan,<img src=""><br>quickly
<img src=""><br>nyúl,<img src=""><br>rabbit
<img src=""><br>ritka,<img src=""><br>rare
<img src=""><br>patkány,<img src=""><br>rat
<img src=""><br>futás,<img src=""><br>run
<img src=""><br>skorpió,<img src=""><br>scorpion
<img src=""><br>lát,<img src=""><br>see
<img src=""><br>helyzet,<img src=""><br>situation
<img src=""><br>kígyó,<img src=""><br>snake
<img src=""><br>Déli-sark,<img src=""><br>South Pole
<img src=""><br>faj,<img src=""><br>species
<img src=""><br>pók,<img src=""><br>spider
<img src=""><br>erős,<img src=""><br>strong
<img src=""><br>ilyen mint,<img src=""><br>such as
<img src=""><br>túlélő,<img src=""><br>survive
<img src=""><br>úszó,<img src=""><br>swim
<img src=""><br>farok,<img src=""><br>tail
<img src=""><br>csapat,<img src=""><br>team
<img src=""><br>furcsa,<img src=""><br>weird
<img src=""><br>bálna,<img src=""><br>whale
<img src=""><br>vadvilág,<img src=""><br>wildlife
<img src=""><br>vadvédelmi program,<img src=""><br>wildlife programme
<img src=""><br>szárny,<img src=""><br>wing
<img src=""><br>farkas,<img src=""><br>wolf
<img src=""><br>világ,<img src=""><br>world
<img src=""><br>arab,<img src=""><br>Arabic
<img src=""><br>kérdések feltevése,<img src=""><br>ask questions
<img src=""><br>bentlakásos iskola,<img src=""><br>boarding school
<img src=""><br>hajó,<img src=""><br>boat
<img src=""><br>üzleti tanulmányok,<img src=""><br>business studies
<img src=""><br>ellenőrzés,<img src=""><br>check
<img src=""><br>óra,<img src=""><br>class
<img src=""><br>képregény,<img src=""><br>comic
<img src=""><br>kötelező,<img src=""><br>complusory
<img src=""><br>koncentráció,<img src=""><br>concentrate
<img src=""><br>nehéz,<img src=""><br>difficult
<img src=""><br>angol,<img src=""><br>English
<img src=""><br>idegesít,<img src=""><br>annoy
<img src=""><br>vizsga,<img src=""><br>exam
<img src=""><br>csereprogram,<img src=""><br>exchange programme
<img src=""><br>zseniális,<img src=""><br>genius
<img src=""><br>földrajz,<img src=""><br>geography
<img src=""><br>nyelvtan,<img src=""><br>grammar
<img src=""><br>nagyszerű,<img src=""><br>great
<img src=""><br>történelem,<img src=""><br>history
<img src=""><br>házi feladat,<img src=""><br>homework
<img src=""><br>IKT (információs és kommunikációs technológia),<img src=""><br>ICT (Information and Communication Technology)
<img src=""><br>olasz,<img src=""><br>Italian
<img src=""><br>ismer,<img src=""><br>know
<img src=""><br>nyelv,<img src=""><br>language
<img src=""><br>tanulni,<img src=""><br>learn
<img src=""><br>hallgatni,<img src=""><br>listen to
<img src=""><br>hallgatni,<img src=""><br>listening
<img src=""><br>jegyzetet írni,<img src=""><br>make notes
<img src=""><br>mandarin,<img src=""><br>Mandarin
<img src=""><br>matek,<img src=""><br>maths
<img src=""><br>közepes méretű,<img src=""><br>medium-sized
<img src=""><br>pantomim,<img src=""><br>mime
<img src=""><br>szúnyog,<img src=""><br>mosquito
<img src=""><br>füzet,<img src=""><br>notebook
<img src=""><br>testnevelés,<img src=""><br>PE (Physical Education)
<img src=""><br>gyakorlati,<img src=""><br>practical
<img src=""><br>gyakorlat,<img src=""><br>practice
<img src=""><br>általános iskola,<img src=""><br>primary school
<img src=""><br>projekt,<img src=""><br>project
<img src=""><br>kiejtés,<img src=""><br>pronunciation
<img src=""><br>PSHE (Személyes szociális és egészségnevelés),<img src=""><br>PSHE (Personal Social and Health Education)
<img src=""><br>olvas,<img src=""><br>read
<img src=""><br>ismétlés,<img src=""><br>repeat
<img src=""><br>átismétlés,<img src=""><br>revise
<img src=""><br>orosz,<img src=""><br>Russian
<img src=""><br>középiskola,<img src=""><br>secondary school
<img src=""><br>természettudomány,<img src=""><br>science
<img src=""><br>spanyol,<img src=""><br>Spanish
<img src=""><br>beszéd,<img src=""><br>speaking
<img src=""><br>helyesírás,<img src=""><br>spell
<img src=""><br>szigorú,<img src=""><br>strict
<img src=""><br>tantárgy,<img src=""><br>subject
<img src=""><br>tanár,<img src=""><br>teacher
<img src=""><br>tankönyv,<img src=""><br>textbook
<img src=""><br>holnap,<img src=""><br>tomorrow
<img src=""><br>hagyományos,<img src=""><br>traditional
<img src=""><br>megértés,<img src=""><br>understand
<img src=""><br>egyenruha,<img src=""><br>uniform
<img src=""><br>szókincs,<img src=""><br>vocabulary
<img src=""><br>famegmunkálás,<img src=""><br>woodwork
<img src=""><br>szójegyzék,<img src=""><br>wordlist
<img src=""><br>írni,<img src=""><br>write
<img src=""><br>írás,<img src=""><br>writing
<img src=""><br>aktív,<img src=""><br>active
<img src=""><br>tanács,<img src=""><br>advice
<img src=""><br>utána,<img src=""><br>after that
<img src=""><br>alma,<img src=""><br>apple
<img src=""><br>bab,<img src=""><br>beans
<img src=""><br>blog,<img src=""><br>blog
<img src=""><br>tál,<img src=""><br>bowl
<img src=""><br>kenyér,<img src=""><br>bread
<img src=""><br>hamburger,<img src=""><br>hamburger
<img src=""><br>cent,<img src=""><br>cent
<img src=""><br>sajt,<img src=""><br>cheese
<img src=""><br>csirke,<img src=""><br>chicken
<img src=""><br>sültkrumpli,<img src=""><br>chips
<img src=""><br>aprítás,<img src=""><br>chop
<img src=""><br>főzés,<img src=""><br>cook
<img src=""><br>kanapé,<img src=""><br>couch
<img src=""><br>chips,<img src=""><br>crisps
<img src=""><br>desszert,<img src=""><br>dessert
<img src=""><br>étel,<img src=""><br>dish
<img src=""><br>dollár,<img src=""><br>dollar
<img src=""><br>ital,<img src=""><br>drink
<img src=""><br>tojás,<img src=""><br>egg
<img src=""><br>euró,<img src=""><br>euro
<img src=""><br>zsír,<img src=""><br>fat
<img src=""><br>végül,<img src=""><br>finally
<img src=""><br>első,<img src=""><br>first
<img src=""><br>fitt,<img src=""><br>fit
<img src=""><br>szénsavas ital,<img src=""><br>fizzy drink
<img src=""><br>hűtőszekrény,<img src=""><br>fridge
<img src=""><br>gyümölcs,<img src=""><br>fruit
<img src=""><br>szőlő,<img src=""><br>grapes
<img src=""><br>szokás,<img src=""><br>habit
<img src=""><br>egészség,<img src=""><br>health
<img src=""><br>egészséges,<img src=""><br>healthy
<img src=""><br>éhes,<img src=""><br>hungry
<img src=""><br>beteg,<img src=""><br>ill
<img src=""><br>hozzávaló,<img src=""><br>ingredient
<img src=""><br>lé,<img src=""><br>juice
<img src=""><br>bárány,<img src=""><br>lamb
<img src=""><br>lasagne,<img src=""><br>lasagne
<img src=""><br>utolsó,<img src=""><br>last
<img src=""><br>lusta,<img src=""><br>lazy
<img src=""><br>életmód,<img src=""><br>lifestyle
<img src=""><br>uzsonnásdoboz,<img src=""><br>lunchbox
<img src=""><br>főétel,<img src=""><br>main course
<img src=""><br>maraton,<img src=""><br>marathon
<img src=""><br>hús,<img src=""><br>meat
<img src=""><br>elme,<img src=""><br>mind
<img src=""><br>ásványvíz,<img src=""><br>mineral water
<img src=""><br>következő,<img src=""><br>next
<img src=""><br>diófélék,<img src=""><br>nuts
<img src=""><br>olíva,<img src=""><br>olive
<img src=""><br>opció,<img src=""><br>option
<img src=""><br>tészta,<img src=""><br>pasta
<img src=""><br>körte,<img src=""><br>pear
<img src=""><br>penny,<img src=""><br>pence
<img src=""><br>bors,<img src=""><br>pepper
<img src=""><br>font,<img src=""><br>pound
<img src=""><br>mazsola,<img src=""><br>raisin
<img src=""><br>rizs,<img src=""><br>rice
<img src=""><br>saláta,<img src=""><br>salad
<img src=""><br>szendvics,<img src=""><br>sandwich
<img src=""><br>tálalás,<img src=""><br>serve
<img src=""><br>nassolnivaló,<img src=""><br>snack
<img src=""><br>leves,<img src=""><br>soup
<img src=""><br>előétel,<img src=""><br>starter
<img src=""><br>szumó birkózó,<img src=""><br>sumo wrestler
<img src=""><br>édesség,<img src=""><br>sweets
<img src=""><br>ízlés,<img src=""><br>taste
<img src=""><br>ízletes,<img src=""><br>tasty
<img src=""><br>hőmérséklet,<img src=""><br>temperature
<img src=""><br>szomjas,<img src=""><br>thirsty
<img src=""><br>fáradt,<img src=""><br>tired
<img src=""><br>vonat,<img src=""><br>train
<img src=""><br>tonhal,<img src=""><br>tuna
<img src=""><br>tipikus,<img src=""><br>typical
<img src=""><br>nem fitt,<img src=""><br>unfit
<img src=""><br>egészségtelen,<img src=""><br>unhealthy
<img src=""><br>zöldség,<img src=""><br>vegetable
<img src=""><br>vegetáriánus,<img src=""><br>vegetarian
<img src=""><br>árusítóautomata,<img src=""><br>vending machine
<img src=""><br>vitamin,<img src=""><br>vitamin
<img src=""><br>víz,<img src=""><br>water
<img src=""><br>kút (mn.),<img src=""><br>well (adj)
<img src=""><br>jót (adv),<img src=""><br>well (adv)
<img src=""><br>aggódj,<img src=""><br>worry
<img src=""><br>joghurt,<img src=""><br>yoghurt
<img src=""><br>sportoló,<img src=""><br>athlete
<img src=""><br>atlétika,<img src=""><br>athletics
<img src=""><br>kosárlabda,<img src=""><br>basketball
<img src=""><br>csata,<img src=""><br>battle
<img src=""><br>válni,<img src=""><br>become
<img src=""><br>rekordot megdönteni,<img src=""><br>break a record
<img src=""><br>zseniális,<img src=""><br>brilliant
<img src=""><br>bronz,<img src=""><br>bronze
<img src=""><br>karrier,<img src=""><br>career
<img src=""><br>váltás,<img src=""><br>change
<img src=""><br>bajnok,<img src=""><br>champion
<img src=""><br>mászás,<img src=""><br>climbing
<img src=""><br>teljes,<img src=""><br>complete
<img src=""><br>verseny,<img src=""><br>competition
<img src=""><br>versenyző,<img src=""><br>competitor
<img src=""><br>őrült,<img src=""><br>crazy
<img src=""><br>dollár,<img src=""><br>dollar
<img src=""><br>esemény,<img src=""><br>event
<img src=""><br>rajongó,<img src=""><br>fan
<img src=""><br>futball,<img src=""><br>football
<img src=""><br>gól,<img src=""><br>goal
<img src=""><br>arany,<img src=""><br>gold
<img src=""><br>golf,<img src=""><br>golf
<img src=""><br>torna,<img src=""><br>gymnastics
<img src=""><br>hoki,<img src=""><br>hockey
<img src=""><br>lovaglás,<img src=""><br>horse-riding
<img src=""><br>jégkorong,<img src=""><br>ice hockey
<img src=""><br>internet,<img src=""><br>internet
<img src=""><br>utazás,<img src=""><br>journey
<img src=""><br>junior,<img src=""><br>junior
<img src=""><br>utolsó,<img src=""><br>last
<img src=""><br>mérkőzés,<img src=""><br>match
<img src=""><br>érem,<img src=""><br>medal
<img src=""><br>érmes,<img src=""><br>medallist
<img src=""><br>hírvivő,<img src=""><br>messenger
<img src=""><br>pillanat,<img src=""><br>moment
<img src=""><br>hírek,<img src=""><br>news
<img src=""><br>olimpia,<img src=""><br>Olympics
<img src=""><br>játékos,<img src=""><br>player
<img src=""><br>verseny,<img src=""><br>race
<img src=""><br>rögbi,<img src=""><br>rugby
<img src=""><br>vitorlázás,<img src=""><br>sailing
<img src=""><br>eredmény,<img src=""><br>score
<img src=""><br>ezüst,<img src=""><br>silver
<img src=""><br>síelés,<img src=""><br>skiing
<img src=""><br>néző,<img src=""><br>spectator
<img src=""><br>költés,<img src=""><br>spend
<img src=""><br>sprint,<img src=""><br>sprint
<img src=""><br>stadion,<img src=""><br>stadium
<img src=""><br>kezdőjátékos,<img src=""><br>starter
<img src=""><br>furcsa,<img src=""><br>strange
<img src=""><br>úszás,<img src=""><br>swimming
<img src=""><br>asztalitenisz,<img src=""><br>tabletennis
<img src=""><br>tenisz,<img src=""><br>tennis
<img src=""><br>szöveg,<img src=""><br>text
<img src=""><br>utazás,<img src=""><br>travel
<img src=""><br>kirándulás,<img src=""><br>trip
<img src=""><br>röplabda,<img src=""><br>volleyball
<img src=""><br>háború,<img src=""><br>war
<img src=""><br>nézés,<img src=""><br>watch
<img src=""><br>győzelem,<img src=""><br>win
<img src=""><br>győztes,<img src=""><br>winner
<img src=""><br>birkózás,<img src=""><br>wrestling
<img src=""><br>színész,<img src=""><br>actor
<img src=""><br>színésznő,<img src=""><br>actress
<img src=""><br>aposztróf,<img src=""><br>apostrophe
<img src=""><br>látszólag,<img src=""><br>apparently
<img src=""><br>avatár,<img src=""><br>avatar
<img src=""><br>átlagos,<img src=""><br>average
<img src=""><br>kopasz,<img src=""><br>bald
<img src=""><br>szakáll,<img src=""><br>beard
<img src=""><br>fekete,<img src=""><br>black
<img src=""><br>szőke,<img src=""><br>blonde
<img src=""><br>épít,<img src=""><br>build
<img src=""><br>nagybetű,<img src=""><br>capital letter
<img src=""><br>gyűjt,<img src=""><br>collect
<img src=""><br>vessző,<img src=""><br>comma
<img src=""><br>göndör,<img src=""><br>curly
<img src=""><br>aranyos,<img src=""><br>cute
<img src=""><br>sötétbarna,<img src=""><br>dark brown
<img src=""><br>leírás,<img src=""><br>description
<img src=""><br>meghalni,<img src=""><br>die
<img src=""><br>pontos,<img src=""><br>exactl
<img src=""><br>felkiáltójel,<img src=""><br>exlamation mark
<img src=""><br>filmrendező,<img src=""><br>film director
<img src=""><br>pont,<img src=""><br>full stop
<img src=""><br>gyengéd,<img src=""><br>gentle
<img src=""><br>munkát vállalni,<img src=""><br>get a job
<img src=""><br>képzettséget szerezni,<img src=""><br>get a qualification
<img src=""><br>házasodni,<img src=""><br>get married
<img src=""><br>óriás,<img src=""><br>giant
<img src=""><br>szemüveg,<img src=""><br>glasses
<img src=""><br>iskolába járni,<img src=""><br>go to school
<img src=""><br>egyetemre járni,<img src=""><br>go to university
